date,cumulative_cases,adjusted_cumulative_cases,recoveries,deaths_daily,cumulative_deaths,active_cases,week_label,week_no,cumulative_tests,tests_daily,cases_daily,adjusted_cases_daily,perc_positive,test_thousand,weekly_tests,weekly_cases,tests_per_case,seven_day_tests,seven_day_positives,seven_day_average,case_fatality_rate,fatalities_seven_days,fatalities_seven_days_average,public_tests,private_tests,new_public_tests,new_private_tests,7_day_weekly_average,community_sceen_and_test,passive_case_finding,vaccinated_total,vaccinated_daily,non_sisonke_vaccination_total,vaccinated_sisonke,j_and_j,pfizer,vaccinations_7_day_average,fourteen_day_deaths_change,fourteen_day_cases_change,pk
12-11-2021,2925371,0,2819307,17,89469,16595,12-18 Nov,89,18865934,30400,393,0,1.3%,13,,,,195905,1978,1.01%,3.1%,174,8.8%,8699308,10166626,14960,14960,283,,,23832377,147937,23335114,497263,0,0,104394,-30,-23,618
13-11-2021,2925677,0,2819307,7,89476,16894,12-18 Nov,89,18893899,27965,306,0,1.1%,11,,,,194215,1926,0.99%,3.1%,157,8.2%,8712334,10181565,13026,14939,275,,,23911477,79100,23414206,497271,0,0,110509,-38,-22,619
14-11-2021,2925939,0,2819688,8,89484,16767,12-18 Nov,89,18917933,24034,262,0,1.1%,11,,,,193620,1983,1.02%,3.1%,152,7.7%,8722917,10195016,10583,13451,283,,,23950956,39479,23453682,497274,0,0,114162,-38,-19,620
15-11-2021,2926075,0,2819870,5,89489,16716,12-18 Nov,89,18933156,15223,136,0,0.9%,9,,,,192326,2003,1.04%,3.1%,137,6.8%,8728388,10204768,5471,9752,286,,,24082686,131730,23585347,497339,0,0,116813,-35,-12,621
16-11-2021,2926348,0,2820030,15,89504,16814,12-18 Nov,89,18962806,29650,273,0,0.9%,9,,,,194141,2031,1.05%,3.1%,117,5.8%,8741969,10220837,13581,16069,290,,,24216614,133928,23719197,497417,0,0,116333,-32,-6,622
17-11-2021,2926914,0,2820514,11,89515,16885,12-18 Nov,89,18998133,35327,566,0,1.6%,16,,,,195901,2292,1.17%,3.1%,80,3.5%,8759676,10238457,17707,17620,327,,,24346917,130303,23849392,497525,0,0,115196,-46,18,623
18-11-2021,2927499,0,2820613,40,89555,17331,12-18 Nov,89,19032662,34529,585,0,1.7%,17,197128,2521,78,197128,2521,1.28%,3.1%,103,4.1%,8776387,10256275,17707,17620,360,,,24471210,124293,23973612,497598,0,0,112396,-28,40,624
19-11-2021,2928288,0,2820731,7,89562,17995,19-25 Nov,90,19061166,28504,789,0,2.8%,28,,,,195232,2917,1.49%,3.1%,93,3.2%,8790188,10270978,13801,14703,417,,,24594906,123696,24097227,497679,0,0,108933,-40,56,625
20-11-2021,2929175,0,2820994,10,89572,18609,19-25 Nov,90,19092934,31768,887,0,2.8%,28,,,,199035,3498,1.76%,3.1%,96,2.7%,8807028,10285906,16840,14928,500,,,24632287,37381,24134608,497679,0,0,102973,-38,90,626
21-11-2021,2929862,0,2821141,2,89574,19147,19-25 Nov,90,19113226,20292,687,0,3.4%,34,,,,195293,3923,2.01%,3.1%,90,2.3%,8815661,10297565,16840,14928,560,,,24646053,13766,24148364,497689,0,0,99300,-48,112,627
22-11-2021,2930174,0,2821481,10,89584,19109,19-25 Nov,90,19126699,13473,312,0,2.3%,23,,,,193543,4099,2.12%,3.1%,95,2.3%,8816470,10310229,809,12664,586,,,24754316,108263,24256567,497749,0,0,95947,-50,113,628
23-11-2021,2948760,2931042,2838524,51,89635,20601,19-25 Nov,90,19244585,40729,868,18586,2.1%,21,,,,204622,4694,2.29%,3.1%,131,2.8%,8916665,10327920,23091,17700,671,,,24874528,120212,24376673,497855,0,0,93988,-39,149,629
24-11-2021,2950035,2932317,2839768,22,89657,20610,19-25 Nov,90,19279975,35390,1275,0,3.6%,36,,,,204685,5403,2.64%,3.1%,142,2.6%,8933481,10346494,16816,18574,772,,,25002232,127704,24504294,497938,0,0,93616,-29,181,630
25-11-2021,2952500,2934782,2843961,114,89771,18768,19-25 Nov,90,19318050,38075,2465,0,6.5%,65,208231,7283,29,208231,7283,3.50%,3.1%,216,3.0%,8951786,10366264,18305,19770,1040,,,25123452,121220,24625377,498075,0,0,93177,24,268,631
26-11-2021,2955328,2937610,2845607,12,89783,19938,26Nov-2Dec,91,19348954,30904,2828,0,9.2%,92,,,,210631,9322,4.43%,3.1%,221,2.4%,8966937,10382027,15141,15763,1332,,,25238789,115337,24740612,498177,0,0,91983,41,384,632
27-11-2021,2958548,0,2847083,8,89791,21674,26Nov-2Dec,91,19383834,34880,3220,0,9.2%,92,,,,213743,11655,5.45%,#DIV/0!,219,1.9%,8981587,10402247,14660,20220,1665,,,25274889,36100,24776709,498180,0,0,91800,44,488,633
28-11-2021,2961406,0,2847771,6,89797,23838,26Nov-2Dec,91,19413079,29245,2858,0,9.8%,98,,,,222696,13826,6.21%,#DIV/0!,223,1.6%,8991539,10421540,9952,19293,1975,,,25288417,13528,24790236,498181,0,0,91766,63,590,634
29-11-2021,2963679,0,2849439,25,89822,24418,26Nov-2Dec,91,19434381,21302,2273,0,10.7%,107,,,,230525,15787,6.85%,#DIV/0!,238,1.5%,8997856,10436525,6317,14985,2255,,,25448767,160350,24950478,498289,0,0,99207,103,677,635
30-11-2021,2968052,0,2849558,21,89843,28651,26Nov-2Dec,91,19477054,42673,4373,0,10.2%,102,,,,232469,19292,8.30%,#DIV/0!,208,1.1%,9018873,10458181,21017,21647,2756,,,25619891,171124,25121528,498363,0,0,106480,160,742,636
01-12-2021,2976613,0,2850142,28,89871,36600,26Nov-2Dec,91,19529031,51977,8561,0,16.5%,165,,,,249056,26578,10.67%,#DIV/0!,214,0.8%,9038354,10490677,19481,32496,3797,,,25782259,162368,25283730,498529,0,0,111432,108,954,637
02-12-2021,2988148,0,2850905,44,89915,47328,26Nov-2Dec,91,19580433,51402,11535,0,22.4%,224,262383,35648,7,262383,35648,13.59%,#DIV/0!,144,0.4%,9061187,10519246,22833,28569,5093,,,26109436,327177,25437123,672313,0,0,140855,55,1122,638
03-12-2021,3004203,0,2852898,29,89944,61361,3-9Dec,92,19646423,65990,16055,0,24.3%,243,,,,297469,48875,16.43%,#DIV/0!,161,0.3%,9089571,10556852,28384,37606,6982,,,26263590,154154,25582368,681222,0,0,146400,68,1297,639
04-12-2021,3020569,0,2855474,21,89965,75130,3-9Dec,92,19715126,68703,16366,0,23.8%,238,,,,331292,62021,18.72%,#DIV/0!,174,0.3%,9119280,10595846,29709,28994,8860,,,26324383,60793,25642295,682088,0,0,149928,93,1481,640
05-12-2021,3031694,0,2858144,1,89966,83584,3-9Dec,92,19761834,46708,11125,0,23.8%,238,,,,348755,70288,20.15%,#DIV/0!,169,0.2%,9130936,10630898,11656,35052,10041,,,26348830,24447,25666415,682415,0,0,151488,78,1615,641
06-12-2021,3038075,0,2861372,9,89975,86728,3-9Dec,92,19785993,24159,6381,0,26.4%,264,,,,351612,74396,21.16%,#DIV/0!,153,0.2%,9133983,10652010,3047,21112,10628,,,26490416,141586,25801790,688626,0,0,148807,17,1485,642
07-12-2021,3051222,0,2864648,27,90002,96572,3-9Dec,92,19838883,52890,13147,0,24.9%,249,,,,361829,83170,22.99%,#DIV/0!,159,0.2%,9153732,10685151,19749,33141,11881,,,26639293,148877,25944132,695161,0,0,145629,12,1439,643
08-12-2021,3071061,0,2867966,36,90038,113057,3-9Dec,92,19912794,73911,19839,0,26.8%,268,,,,383763,94448,24.61%,#DIV/0!,167,0.2%,9189447,10723347,35715,38196,13493,,,26781642,142349,26080235,701407,0,0,142769,-23,1197,644
09-12-2021,3093451,0,2870329,22,90060,133062,3-9Dec,92,19988045,75251,22390,0,29.8%,298,407612,105303,4,407612,105303,25.83%,#DIV/0!,145,0.1%,9210333,10777712,20886,54365,15043,,,26917603,135961,26210194,707409,0,0,115452,-34,1030,645
10-12-2021,3112469,0,2878855,20,90080,143534,10-16Dec,93,20071560,83515,19018,0,22.8%,228,,,,425137,108266,25.47%,#DIV/0!,136,0.1%,9210333,10777712,20886,54365,15467,,,27043034,125431,26329807,713227,0,0,111349,-38,829,646
11-12-2021,3129622,0,2880472,36,90116,159034,10-16Dec,93,20176391,104831,17153,0,16.4%,164,,,,461265,109053,23.64%,#DIV/0!,151,0.1%,9302735,10873656,58639,46192,15579,,,27078578,35544,26364935,713643,0,0,107742,-32,689,647
12-12-2021,3167497,0,2913232,21,90137,164128,10-16Dec,93,20238805,62414,18035,0,28.9%,289,,,,476971,115963,24.31%,#DIV/0!,171,0.1%,9330968,10907837,28299,34181,16566,,,27090975,12397,26377205,713770,0,0,106021,-28,635,648
13-12-2021,3180758,0,2916297,11,90148,174313,10-16Dec,93,20283906,45101,13992,0,31.0%,310,,,,497913,123574,24.82%,#DIV/0!,173,0.1%,9352486,10931420,21518,23583,17653,,,27188606,97631,26471017,717589,0,0,99741,-17,541,649
14-12-2021,3204055,0,2943570,24,90172,170313,10-16Dec,93,20352343,68437,23884,0,34.9%,349,,,,513460,134311,26.16%,#DIV/0!,170,0.1%,9390924,10961419,38438,29999,19187,,,27304475,115869,26586886,717589,0,0,95026,-21,405,650
15-12-2021,3231031,0,2949209,54,90226,191596,10-16Dec,93,20436207,83864,26976,0,32.2%,322,,,,523413,141448,27.02%,#DIV/0!,188,0.1%,9425060,11011147,34136,49728,20207,,,27407400,102925,26681068,726332,0,0,89394,31,297,651
16-12-2021,3255816,0,2954919,36,90262,210635,10-16Dec,93,20516511,80304,24785,0,30.9%,309,528466,143843,4,528466,143843,27.22%,#DIV/0!,202,0.1%,9462052,11054459,36992,43312,20549,,,27422495,15095,26696010,726485,0,0,72127,25,194,652
17-12-2021,3276529,0,2975417,35,90297,210815,17-23Dec,94,20584692,68181,20713,0,30.4%,304,,,,513132,145538,28.36%,#DIV/0!,217,0.1%,9462052,11054459,36992,43312,20791,,,27496599,74104,26767009,729590,0,0,64795,25,135,653
18-12-2021,3292609,0,2992289,48,90345,209975,17-23Dec,94,20640434,55742,16080,0,28.8%,288,,,,464043,144465,31.13%,#DIV/0!,229,0.2%,9520475,11119959,26310,29432,20638,,,27515090,18491,26785421,729669,0,0,62359,36,106,654
19-12-2021,3308070,0,3010513,3,90348,207209,17-23Dec,94,20690811,50377,15461,0,30.7%,307,,,,452006,141891,31.39%,2.7%,211,0.1%,9538461,11152350,17986,32391,20270,,,27521386,6296,26791695,729691,0,0,61487,38,91,655
20-12-2021,3316585,0,3026285,105,90453,199847,17-23Dec,94,20719331,28520,8515,0,29.9%,299,,,,435425,136414,31.33%,2.7%,305,0.2%,9549072,11170259,10611,17909,19488,,,27599038,77652,26868874,730164,0,0,58633,92,64,656
21-12-2021,3332008,0,3043094,35,90488,198426,17-23Dec,94,20775208,55877,15423,0,27.6%,276,,,,422865,127953,30.26%,2.7%,316,0.2%,9577081,11198127,28009,27868,18279,,,27669950,70912,26939371,730579,0,0,52211,89,35,657
22-12-2021,3353106,0,3052399,99,90587,210120,17-23Dec,94,20844222,69014,21098,0,30.6%,306,,,,408015,122075,29.92%,2.7%,361,0.3%,9606295,11237927,29214,39800,17439,,,27733331,63381,27002431,730900,0,0,46562,149,16,658
23-12-2021,3374262,0,3094902,75,90662,188698,17-23Dec,94,20916911,72689,21156,0,29.1%,291,,,,400400,118446,29.58%,2.7%,400,0.3%,9636464,11280447,30169,42520,16921,,,27778860,45529,27047723,731137,0,0,50909,194,9,659
24-12-2021,3393109,0,3085419,81,90743,216947,24-30Dec,95,20980990,64079,18847,0,29.4%,294,396298,116580,3,396298,116580,29.42%,2.7%,446,0.4%,9665747,11315243,29283,34796,16654,,,27801495,22635,27070246,731249,0,0,43557,195,7,660
25-12-2021,3407937,0,3102717,30,90773,214447,24-30Dec,95,21038633,57643,14828,0,25.7%,257,,,,398199,115328,28.96%,2.7%,428,0.4%,9689079,11349554,23332,34311,16475,,,27802711,1216,27071456,731255,0,0,41089,150,-1,661
26-12-2021,3413536,0,3111957,41,90814,210765,24-30Dec,95,21059203,20570,5599,0,27.2%,272,,,,368392,105466,28.63%,2.7%,466,0.4%,9696868,11362335,7789,12781,15067,,,27804007,1296,27072745,731262,0,0,40374,169,-15,662
27-12-2021,3417318,0,3120012,15,90829,206477,24-30Dec,95,21076433,17230,3782,0,22.0%,220,,,,357102,100733,28.21%,2.7%,376,0.4%,9702610,11373823,5742,11488,14390,,,27807640,3633,27076367,731273,0,0,29800,121,-25,663
28-12-2021,3424534,0,3134314,25,90854,199366,24-30Dec,95,21106962,30529,7216,0,23.6%,236,,,,331754,92526,27.89%,2.7%,366,0.4%,9718251,11388711,15641,14888,13218,,,27860235,52595,27128707,731528,0,0,27184,95,-35,664
29-12-2021,3433553,0,3145543,81,90935,197075,24-30Dec,95,21141715,34753,9019,0,26.0%,260,,,,297493,80447,27.04%,2.6%,348,0.4%,9731592,11410123,13341,21412,11492,,,27913197,52962,27181376,731821,0,0,25695,72,-44,665
30-12-2021,3446532,0,3159143,126,91061,196328,24-30Dec,95,21187864,46149,12979,0,28.1%,281,,,,270953,72270,26.67%,2.6%,399,0.6%,9754595,11433269,23003,23146,10324,,,27955112,41915,27223043,732069,0,0,25179,84,-50,666
31-12-2021,3458261,0,3174037,84,91145,193079,31Dec-6Jan,96,21231024,43160,11729,0,27.2%,272,250034,65152,4,250034,65152,26.06%,2.6%,402,0.6%,9775989,11455035,21394,21766,9307,,,27955112,0,27223043,732069,0,0,21945,76,-55,667
01-01-2022,3468057,0,3182969,53,91198,193890,31Dec-6Jan,96,21267879,36855,9796,0,26.6%,266,,,,229246,60120,26.23%,2.6%,425,0.7%,9794744,11473135,18755,18100,8589,,,27976637,21525,27244446,732191,0,0,24847,101,-58,668
02-01-2022,3472280,0,3197017,30,91228,184035,31Dec-6Jan,96,21286849,18970,4223,0,22.3%,223,,,,227646,58744,25.80%,2.6%,414,0.7%,9801689,11485160,6945,12025,8392,,,27977830,1193,27245639,732191,0,0,24832,36,-57,669
03-01-2022,3475512,0,3224152,84,91312,160048,31Dec-6Jan,96,21304188,17339,3232,0,18.6%,186,,,,227755,58194,25.55%,2.6%,483,0.8%,9806467,11497721,4778,12561,8313,,,28032640,54810,27300178,732462,0,0,32143,53,-55,670
04-01-2022,3483590,0,3238246,139,91451,153893,31Dec-6Jan,96,21344293,40105,8078,0,20.1%,201,,,,237331,59056,24.88%,2.6%,597,1.0%,9823568,11520725,17101,23004,8437,,,28095848,63208,27363051,732797,0,0,33659,65,-52,671
05-01-2022,3494694,0,3249738,110,91561,153395,31Dec-6Jan,96,21394263,49970,11104,0,22.2%,222,,,,252548,61141,24.21%,2.6%,626,1.0%,9845516,11548747,21948,28022,8734,,,28164339,68491,27431178,733161,0,0,35877,57,-48,672
06-01-2022,3504553,0,3260642,45,92112,151799,31Dec-6Jan,96,21441211,46948,9859,0,21.0%,210,,,,253347,58021,22.90%,2.6%,545,0.9%,9868016,11573195,22500,24448,8289,,,28233512,69173,27499995,733517,0,0,39771,22,-50,673
07-01-2022,3513813,0,3273022,140,92252,148539,7-13Jan,97,21487054,45843,9260,0,20.2%,202,256030,55552,5,256030,55552,21.70%,2.6%,601,1.1%,9888910,11598144,20894,24949,7936,,,28308644,75132,27574653,733991,0,0,50505,40,-52,674
08-01-2022,3521572,0,3281447,119,92371,147754,7-13Jan,97,21527936,40882,7759,0,19.0%,190,,,,260057,53515,20.58%,2.6%,667,1.2%,9907864,11620072,18954,21928,7645,,,28325070,16426,27590993,734077,0,0,49776,43,-49,675
09-01-2022,3526054,0,3286952,82,92453,146649,7-13Jan,97,21553366,25430,4482,0,17.6%,176,,,,266517,53774,20.18%,2.6%,719,1.3%,9916506,11636860,8642,16788,7682,,,28329788,4718,27595697,734091,0,0,50280,91,-47,676
10-01-2022,3528463,0,3291578,77,92530,144355,7-13Jan,97,21570563,17197,2409,0,14.0%,140,,,,266375,52951,19.88%,2.6%,712,1.3%,9921118,11649445,4612,12585,7564,,,28417574,87786,27683069,734505,0,0,54991,95,-43,677
11-01-2022,3534129,0,3298672,119,92649,142808,7-13Jan,97,21611050,40487,5666,0,14.0%,140,,,,266757,50539,18.95%,2.6%,692,1.4%,9940993,11670057,19875,20612,7220,,,28508583,91009,27773637,734946,0,0,58962,99,-37,678
12-01-2022,3540888,0,3309735,181,92830,138323,7-13Jan,97,21654544,43494,6759,0,15.5%,155,,,,260281,46194,17.75%,2.6%,763,1.7%,9959775,11694769,18782,24712,6599,,,28585930,77347,27850478,735452,0,0,60227,91,-36,679
13-01-2022,3546799,0,3346936,159,92989,106874,7-13Jan,97,21695982,41438,5911,0,14.3%,143,,,,254771,42246,16.58%,2.6%,877,2.1%,9979300,11716682,19525,21913,6035,,,28782337,196407,28046199,736138,0,0,78404,118,-35,680
14-01-2022,3552043,0,3358065,128,93117,100861,14-20Jan,98,21736300,40318,5244,0,13.0%,130,249246,38230,7,249246,38230,15.34%,2.6%,865,2.3%,9998228,11738072,18928,21390,5461,,,28847068,64731,28110334,736734,0,0,76918,104,-36,681
15-01-2022,3556633,0,3358065,161,93278,105290,14-20Jan,98,21772893,36593,4590,0,12.5%,125,,,,244957,35061,14.31%,2.6%,907,2.6%,10015689,11757204,17461,19132,5009,,,28898063,50995,28161247,736816,0,0,81856,119,-40,682
16-01-2022,3559230,0,3358065,86,93364,107801,14-20Jan,98,21797292,24399,2597,0,10.6%,106,,,,243926,33176,13.60%,2.6%,911,2.7%,10023548,11773744,7859,16540,4739,,,28903010,4947,28166174,736836,0,0,81889,89,-43,683
17-01-2022,3560920,0,3375859,87,93451,91610,14-20Jan,98,21815463,18171,1690,0,9.3%,93,,,,244900,32457,13.25%,2.6%,921,2.8%,10029257,11786206,5709,12462,4637,,,28993654,90644,28256514,737140,0,0,82297,54,-45,684
18-01-2022,3564578,0,3380374,100,93551,90653,14-20Jan,98,21855117,39654,3658,0,9.2%,92,,,,244067,30449,12.48%,2.6%,902,3.0%,10047042,11808075,17785,21869,4350,,,29084973,91319,28347510,737463,0,0,82341,44,-50,685
19-01-2022,3568898,0,3390027,156,93707,85164,14-20Jan,98,21895771,40654,4320,0,10.6%,106,,,,241227,28010,11.61%,2.6%,877,3.1%,10065072,11830699,18030,22624,4001,,,29164224,79251,28426464,737760,0,0,82613,61,-52,686
20-01-2022,3572859,0,3394527,139,93846,84486,14-20Jan,98,21933255,37484,3961,0,10.6%,106,,,,237273,26060,10.98%,2.6%,857,3.3%,10081930,11851325,16858,20626,3723,,,29251262,87038,28513181,738081,0,0,66989,43,-53,687
21-01-2022,3576379,0,3403253,103,93949,79177,21-27Jan,99,21968562,35307,3520,0,10.0%,100,232262,24336,10,232262,24336,10.48%,2.6%,832,3.4%,10097258,11871304,15328,19979,3477,,,29339383,88121,28600939,738444,0,0,70331,25,-55,688
22-01-2022,3579428,0,3405713,114,94063,79652,21-27Jan,99,22001679,33117,3049,0,9.2%,92,,,,228786,22795,9.96%,2.6%,785,3.4%,10112541,11889138,15283,17834,3256,,,29363052,23669,28624562,738490,0,0,66427,9,-58,689
23-01-2022,3581359,0,3411555,114,94177,75627,21-27Jan,99,22024246,22567,1931,0,8.6%,86,,,,226954,22129,9.75%,2.6%,813,3.7%,10119057,11905189,6516,16051,3161,,,29369021,5969,28630506,738515,0,0,66573,14,-58,690
24-01-2022,3582691,0,3413926,88,94265,74500,21-27Jan,99,22041433,17187,1332,0,7.8%,78,,,,225970,21771,9.63%,2.6%,814,3.7%,10124117,11917316,5060,12127,3110,,,29452653,83632,28714138,738515,0,0,65571,18,-57,691
25-01-2022,3585885,0,3418123,132,94397,73365,21-27Jan,99,22077649,36216,3194,0,8.8%,88,,,,222532,21307,9.57%,2.6%,846,4.0%,10140270,11937379,16153,20263,3044,,,29540132,87479,28801071,739061,0,0,65023,11,-54,692
26-01-2022,3590399,0,3418123,94,94491,77785,21-27Jan,99,22120335,42686,4514,0,10.6%,106,,,,224564,21501,9.57%,2.6%,784,3.6%,10158304,11962031,18034,24652,3072,,,29626329,86197,28886979,739350,0,0,66015,-11,-49,693
27-01-2022,3594499,0,3432829,160,94651,67019,21-27Jan,99,22159247,38912,4100,0,10.5%,105,,,,225992,21640,9.58%,2.6%,805,3.7%,10176213,11983034,17909,21003,3091,,,29702542,76213,28962921,739621,0,0,64469,-7,-43,694
28-01-2022,3598288,0,3436326,133,94784,67178,28Jan-3Feb,100,22195053,35806,3789,0,10.6%,106,226491,21909,10,226491,21909,9.67%,2.6%,835,3.8%,10192133,12002920,15920,19886,3130,,,29784202,81660,29044285,739917,0,0,63546,-8,-38,695
29-01-2022,3601630,0,3439482,121,94905,67243,28Jan-3Feb,100,22228242,33189,3342,0,10.1%,101,,,,226563,22202,9.80%,2.6%,842,3.8%,10207163,12021079,15030,18159,3172,,,29806702,22500,29066735,739967,0,0,63379,-8,-33,696
30-01-2022,3603856,0,3443535,117,95022,65299,28Jan-3Feb,100,22251589,23347,2226,0,9.5%,95,,,,227343,22497,9.90%,2.6%,845,3.8%,10214310,12037279,7147,16200,3214,,,29812348,5646,29072355,739993,0,0,63332,-8,-31,697
31-01-2022,3605222,0,3443535,71,95093,66594,28Jan-3Feb,100,22268519,16930,1366,0,8.1%,81,,,,227086,22531,9.92%,2.6%,828,3.7%,10219082,12049437,4772,12158,3219,,,29884699,72351,29144464,740235,0,0,61721,-8,-26,698
01-02-2022,3608307,0,3443535,195,95288,69484,28Jan-3Feb,100,22303586,35067,3085,0,8.8%,88,,,,225937,22422,9.92%,2.6%,891,4.0%,10233188,12070398,14106,20961,3203,,,29957898,73199,29217407,740491,0,0,59681,2,-20,699
02-02-2022,3612809,0,3461490,175,95463,55856,28Jan-3Feb,100,22343478,39892,4502,0,11.3%,113,,,,223143,22410,10.04%,2.6%,972,4.3%,10248929,12094549,15741,24151,3201,,,30031894,73996,29291388,740506,0,0,57938,13,-14,700
03-02-2022,3616071,0,3465681,82,95545,54845,28Jan-3Feb,100,22374263,30785,3262,0,10.6%,106,,,,215016,21572,10.03%,2.6%,894,4.1%,10262257,12112006,13328,17457,3082,,,30101147,69253,29360611,740536,0,0,56944,7,-11,701
04-02-2022,3618853,0,3473120,221,95766,49967,4-10Feb,101,22405373,31110,2782,0,8.9%,89,210320,20565,10,210320,20565,9.78%,2.6%,982,4.8%,10274091,12131282,11834,19276,2938,,,30167525,66378,29426968,740557,0,0,54760,25,-10,702
05-02-2022,3622210,0,3477336,51,95817,49057,4-10Feb,101,22443199,37826,3357,0,8.9%,89,,,,214957,20580,9.57%,2.6%,912,4.4%,10291895,12151304,17804,20022,2940,,,30185123,17598,29444565,740558,0,0,54060,12,-7,703
06-02-2022,3623962,0,3480249,18,95835,47878,4-10Feb,101,22464999,21800,1752,0,8.0%,80,,,,213410,20106,9.42%,2.6%,813,4.0%,10298762,12166237,6867,14933,2872,,,30189745,4622,29449182,740563,0,0,53914,0,-8,704
07-02-2022,3625190,0,3482274,186,96021,46895,4-10Feb,101,22481066,16067,1228,0,7.6%,76,,,,212547,19968,9.39%,2.6%,928,4.6%,10303481,12177585,4719,11348,2853,,,30255366,65621,29514782,740584,0,0,52952,10,-6,705
08-02-2022,3628014,0,3488980,268,96289,42745,4-10Feb,101,22515686,34620,2824,0,8.2%,82,,,,212100,19707,9.29%,2.7%,1001,5.1%,10317709,12197977,14228,20392,2815,,,30325638,70272,29585047,740591,0,0,52534,28,-8,706
09-02-2022,3631642,0,3491626,213,96502,43514,4-10Feb,101,22555062,39376,3628,0,9.2%,92,,,,211584,18833,8.90%,2.7%,1039,5.5%,10334503,12220559,16794,22582,2690,,,30397806,72168,29657205,740601,0,0,52273,29,-13,707
10-02-2022,3634811,0,3494016,203,96705,44090,4-10Feb,101,22591175,36113,3169,0,8.8%,88,,,,216912,18740,8.64%,2.7%,1160,6.2%,10350366,12240809,15863,20250,2677,,,30468125,70319,29727518,740607,0,0,52425,39,-14,708
11-02-2022,3637673,0,3497041,146,96851,43781,11-17Feb,102,22624015,32840,2862,0,8.7%,87,218642,18820,12,218642,18820,8.61%,2.7%,1085,5.8%,10364374,12259641,14008,18832,2689,,,30537877,69752,29797263,740614,0,0,52907,29,-15,709
12-02-2022,3640162,0,3500826,134,96985,42351,11-17Feb,102,22656918,32903,2489,0,7.6%,76,,,,213719,17952,8.40%,2.7%,1168,6.5%,10378314,12278604,13940,18963,2565,,,30555190,17313,29814573,740617,0,0,52867,38,-20,710
13-02-2022,3641811,0,3502319,8,96993,42499,11-17Feb,102,22677323,20405,1649,0,8.1%,81,,,,212324,17849,8.41%,2.7%,1158,6.5%,10384842,12292481,6528,13877,2550,,,30559431,4241,29818813,740618,0,0,52812,40,-21,711
14-02-2022,3642905,0,3508249,257,97250,37406,11-17Feb,102,22693253,15930,1094,0,6.9%,69,,,,212187,17715,8.35%,2.7%,1229,6.9%,10389890,12303363,5048,10882,2531,,,30627415,67984,29886760,740655,0,0,53150,38,-21,712
15-02-2022,3645269,0,3511001,181,97431,36837,11-17Feb,102,22723984,30731,2364,0,7.7%,77,,,,208298,17255,8.28%,2.7%,1142,6.6%,10401651,12322333,11761,18970,2465,,,30701325,73910,29960640,740685,0,0,53670,17,-23,713
16-02-2022,3648968,0,3513078,89,97520,38370,11-17Feb,102,22762117,38133,3699,0,9.7%,97,,,,207055,17326,8.37%,2.7%,1018,5.9%,10418386,12343731,16735,21398,2475,,,30779272,77947,30038567,740705,0,0,54495,14,-20,714
17-02-2022,3652024,0,3515196,435,97955,38873,11-17Feb,102,22796653,34536,3056,0,8.8%,88,,,,205478,17213,8.38%,2.7%,1250,7.3%,10434305,12362348,15919,15919,2459,,,30858874,79602,30118154,740720,0,0,55821,27,-16,715
18-02-2022,3654824,0,3518316,343,98298,38210,18-24Feb,103,22830172,33519,2800,0,8.4%,84,206157,17151,12,206157,17151,8.32%,2.7%,1447,8.4%,10449067,12381105,14762,18757,2450,,,30936372,77498,30195634,740738,0,0,56928,59,-17,716
19-02-2022,3657091,0,3521246,319,98617,37228,18-24Feb,103,22860591,30419,2267,0,7.5%,75,,,,203673,16929,8.31%,2.7%,1632,9.6%,10462831,12397760,13764,16655,2418,,,30957204,20832,30216465,740739,0,0,57431,101,-16,717
20-02-2022,3658547,0,3522732,50,98667,37148,18-24Feb,103,22880879,20288,1456,0,7.2%,72,,,,203556,16736,8.22%,2.7%,1674,10.0%,10469865,12411014,7034,13254,2391,,,30964954,7750,30224215,740739,0,0,57932,80,-16,718
21-02-2022,3659698,0,3524402,137,98804,36492,18-24Feb,103,22896483,15604,1151,0,7.4%,74,,,,203230,16793,8.26%,2.7%,1554,9.3%,10474970,12421513,5105,10499,2399,,,31039221,74267,30298473,740748,0,0,58829,55,-15,719
22-02-2022,3662031,0,3526115,64,98868,37048,18-24Feb,103,22928257,31774,2333,0,7.3%,73,,,,204273,16762,8.21%,2.7%,1437,8.6%,10489113,12439144,14143,17631,2395,,,31123187,83966,30382430,740757,0,0,60266,38,-11,720
23-02-2022,3665149,0,3531960,110,98978,34211,18-24Feb,103,22964127,35870,3118,0,8.7%,87,,,,202010,16181,8.01%,2.7%,1458,9.0%,10505215,12458912,16102,19768,2312,,,31218528,95341,30477763,740765,0,0,62751,26,-14,721
24-02-2022,3667560,0,3533695,40,99018,34847,18-24Feb,103,22994945,30818,2411,0,7.8%,78,,,,198292,15536,7.83%,2.7%,1063,6.8%,10517018,12477927,11803,19015,2219,,,31309353,90825,30568582,740771,0,0,64354,-2,-17,722
25-02-2022,3669671,0,3536503,127,99145,34023,25Feb-3Mar,104,23020001,25056,2111,0,8.4%,84,189829,14847,13,189829,14847,7.82%,2.7%,847,5.7%,10525857,12494144,8839,16217,2121,,,31406387,97034,30665616,740771,0,0,67145,-27,-17,723
